row,exposure,target,prediction
29023,1,922.866,1027.96
29412,1,1078.42,991.187
29462,1,1093.41,1117.37
29491,1,1868.4,1603.46
29744,1,635.074,1014.07
29753,2,2387.68,2526.46
29784,1,1034.24,944.27
29854,1,1359.32,1113.27
30018,1,1078.42,924.47
30019,1,2268.09,936.952
30038,1,1671.13,832.168
30082,1,1034.24,1145.78
30149,1,4445.6,1176.66
30417,1,4025.71,952.665
30554,3,2023.05,3874.7
30614,1,1078.42,1133.66
30923,1,1165.58,1302.55
30937,1,1100.15,1108.73
31183,1,434.52,964.767
31237,1,566.312,1124.33
31261,1,1291.96,1246.96
31365,1,1243.19,1094.73
31392,1,850.934,911.707
31677,2,2186.83,2611.92
31678,1,2422.87,1353.85
31783,1,1053.82,1180.94
32029,1,2712.46,1284.81
32130,1,873.465,1255.74
32262,1,1093.41,1157.38
32279,1,1078.34,931.065
32451,2,2664.95,2458.56
33093,1,1312.45,1154.4
33131,1,1078.42,936.149
33489,1,1093.41,954.118
33504,1,354.634,1054.27
33744,1,783.44,857.911
34079,1,896.841,1404.25
34122,1,1779.62,1399.51
34140,1,356.398,1193.92
34288,1,1729.12,1149.12
34372,1,133.509,988.602
34467,1,48.307,1225.7
34567,1,628.098,1007.71
34657,1,206.44,1040.65
34720,1,254.861,1192.1
35003,1,464.478,1027.96
35359,1,232.754,984.38
35677,1,952.865,1246.96
35940,1,10296.7,1184.35
36035,1,449.554,895.013
36196,1,4630.69,1469.92
36247,1,429.681,1104.79
36342,1,1012.6,1270.36
36453,1,814.546,1064.51
36457,1,1078.42,1399.22
36676,1,1165.58,936.727
36780,1,209.836,1094.73
37067,1,1165.58,988.086
37202,1,1671.38,966.947
37461,1,1078.42,1131.95
38292,1,1257.66,1022.05
38390,1,1093.41,1086.77
38510,1,62.0066,1336.44
38532,1,1388.31,992.264
38660,1,1796.42,1102.7
38942,1,325.153,1077.49
38996,1,1093.41,1085.85
39017,1,598.66,1093.07
39108,1,1737.82,962.822
39158,1,844.246,1353.85
39185,1,795.599,1083.44
39226,1,604.898,982.519
39231,2,6780.64,2667
39502,1,321.497,851.364
39547,1,1165.58,2005.75
39673,1,2349.79,1379.28
39855,1,872.519,1031.89
